بزم|مونث)سبھا-محفل-مجلس۔)
استقامت|قيام۔
استقبال|خير مقدم۔
استقدام|درپيش ہونا۔
اسلاف|بزرگ۔
اسلحہ|آلات جنگ۔
اسلوب|طريقہ۔
اشاعت|شايع کرنا۔
اشتعال|آگ بھڑکانا۔
اشغال|مشغلے-کام۔
اصرار|تاکيد۔
اصراف|بہت سے خرچ۔
اصل|بنیاد۔
اصلاح|درستی۔
اصول|طور طريقہ۔
اطاعت|تابعداری۔
اعتدال|ميانہ روی۔
اعتراف|تسليم کرنا۔
اعتراض|عيب گوہی۔
اعضاء|بدن کے حصے۔
اعتماد|بھروسے۔
اعجاز|معجزہ۔
اکثر|زيادہ تر۔
باخبر|واقف۔
باضابطہ|قاعدے کے ساتھ۔
باطہارت|وضو کيے ہوے۔
بات|کلام۔
بادشاہت|حکومت۔
بٹاسٹا|لين دين۔
بجلی|برقی قوت۔
بجھنا|مايوس ہونا۔
بچاو|حفاضت۔
بچت|فاءدہ۔
بچھونا|بستر۔
بحث|تکرار۔
بحال|برقرار۔
بخار|بھاپ۔
بختاور|خوش قسمتی۔
بخشش|معافی۔
بد|برا-خراب۔
بدنام|رسوا ہونا۔
بداصل|بے ڈھنگا۔
بداعمال|برے کام کرنے والا۔
بدبو|خراب بو۔
بددمماغ|مغرور-گھمنڈی۔
بدزبان|بدکلام-گستاخ۔
بدساعت|منحوس گھڑی۔
بدسگالی|برا چاہنا۔
بدصورت|بری صورت۔
بدنامی|رسوای۔
برخلاف|برعکس۔
برحق|درست۔
برخاستگی|برفی-رخصت۔
برقرار|زندہ-باقی۔
بروقت|عين وقت پر۔
برابری|مقابلہ۔
برسات|بارش کا موسم۔
برکت|کثرت-نعمت۔
بڑای|عظمت-بزرگی۔
بسر|گزارنا۔
بغلول|احمق-بيوقوف۔
بناوٹ|ساخت-شکل۔
پاس|قبضيت-ملکيت۔
پاسبان|نگہبان-ديکھ بھال۔
پاسداری|خيال-ادب۔
پختہ|ہوشيار-تجربہ کار۔
پرای|غير کی۔
پرستش|عبادت-پوجنا۔
پروردگار|پرورش کرنے والا۔
پروانگی|اجازت۔
پڑوس|ارد گرد-اطراف۔
پڑتال|جانچ۔
پذيرای|قبوليت-منظوری۔
پڑھنا|مطالعہ کرنا۔
پسپردہ|چھپا ہوا۔
پسپا|واپس ہونا-ہٹنا۔
پسند|حسب خواہش۔
پکار|فرياد-دہای۔
پکڑ|گرفت-قبضہ۔
پلٹ|گھماو-گردش۔
پناہ|معافی-امن۔
پنساری|مصالحے بيچنے والا۔
پوچھنا|تلاش کرنا۔
پہلو|طرف-سمت۔
پھنسنا|الجھنا-گرفتار۔
پياس|پانی پينے کی خواہش۔
تباہی|بربادی۔
تبرک|تحفہ۔
تجارت|دکان داری۔
تجربہ|امتحان-پرکھ۔
تحفظ|احتياط-حفاضت۔
تحفہ|پيشکش-سوغات۔
تحمل|برداشت-بردباری۔
تحويل|بدلنا۔
تدارک|سزا-تلافی۔
تدافع|دفع کرنا۔
تذکرہ|ذکر-چرچا۔
ترک|چھٹ جانا۔
ترقی|آگھے بڑھنے۔
تسلسل|سلسلہ-جاری۔
ٹٹولنا|بے ديکھے ڈھونڈنا۔
ٹوپی|مہر کی پوشاک۔
ٹوٹ|شکستگی۔
ٹھاٹبھاٹ|شان وشوکت۔
ٹھکانا|جگہ-مقام۔
ٹھنڈا|سردی-خشکی۔
ٹھرانا|طے کرنا-مقرر کرنا۔
ثابت|تصدیق شدہ, مانا ہوا۔
ثاقب|روشن-چمکدار۔
ثانی|مانند-نظیر۔
پائداری|مظبوط-ثبات۔
ثبوت|دلیل-سچائی۔
ثمر|کامیابی۔
ثمرہ|بدلا-فاہدہ۔
ثمن|قیمت-قدر۔
ثقافت|تہذیب-کلچر۔
ثقاہت|متانت-سنجیندگی۔
ثقیل|بھاری-بوجھل۔
ثقیف|عقلمند-چالاک۔
ثناہ|تعریف کرنا۔
ثواب|انعام-اجرت۔
ثیاب|لباس-پوشاک۔
جابر|ظالم۔
جابھی|بيزاری۔
جابول|جواب کی جمع۔
جابجا|جگہ جگہ۔
جالہنا|ٹہرنا۔
جاترا|ميل جول۔
جاٹ|ايک ذات۔
جاجم|چھاپے کا فرش۔
جاچ|ظلم و ستم۔
جاٹھ|لٹھ کی ايک قسم۔
جارو نظر|معشوق۔
جاچک|جانچنے والا۔
جادہ|سڑک۔
جاڑا|سردی۔
جازب|جزپ کرنے والا۔
جازم|جزم رينے والا۔
جاسوسی|مخبری۔
جاز|ايک طرح کا نغمہ۔
جارح|زخمی کرنے والا۔
جاکڑ|واپسی کی شرط پر خريدی ہوی چيز۔
جاروب|جھاڑو۔
جاکھن|کنويں کا چاک۔
جاکی|چابک سوار۔
جاگرتی|شعور۔
جاگت|پہرہ دينا۔
جالدار|پھندے دار۔
جاگو|ہوشيار۔
جام|پيالہ۔
جالی|جھلی۔
جامہ|پوشاک۔
جامن|پھل۔
جامگی|بندوق کا ٹوڑا۔
جان|روح۔
جامع|مکمل۔
جامعيت|ہمہ گيری۔
جانکار|شناسا۔
جانکے|ارادہ کر کے۔
جانپہچان|واقفيت۔
جاناں|مجبوب۔
جانبرار|حمايتی۔
جاوداں|ہميشہ۔
چاب|چانبا کا امر۔
چابک|چست۔
چا|چاہ۔
چابکی|چالاکی۔
چابنا|چبانا۔
چاٹنا|چٹ کرنا۔
چاٹيا|چٹوڑا۔
چادر|مربع۔
چاٹی|دودھ کی ہانڈی۔
چاپاتی|روٹی۔
چابی|کنجی۔
چاپٹ|بھوسی۔
چاپ|کمان۔
چاتر|چالاک۔
چاپلوسی|خوشامدی۔
چادرا|بڑی چادر۔
چاند|ايک سيارا۔
چارتگ|سرپٹ۔
چاربند|پشت کے چاروں جوڑ۔
چار|گنتی۔
چارٹوک|چوکھنڈا۔
چارجانی|بدکار۔
چارجامہ|کپڑے کا زين۔
چارتال|چوتالا۔
چارتار|چار جوڑے۔
چارا|گھاس۔
چومنا|بوسہ دينا۔
چاشنی|پت۔
چارٹ|نقشہ۔
چارکول|کوءلہ۔
چمار|جاہل۔
چارولی|مغز گری۔
چاق|ہوشيار۔
چاقوچوبند|چست۔
چاقو|آلہ۔
چاک|ٹکڑے۔
چارہ|علاج۔
چکر|گھومنا۔
چوٹ|زخم۔
چاکنا|چکھنا۔
چاکسو|سياہ بيج۔
حاجات|ضروريات۔
حادثہ|سانحہ-واقعہ۔
حاذق|تجربہ کار۔
حارث|کاشتکار۔
حارج|مزاحمت کرنے والا۔
حاسد|دشمن۔
حاصل|پيدوار-نتيجہ۔
حاضر|موجود-تيار۔
حافظ|حفاظت کرنے والا۔
حاکم|سردار۔
حال|کيفيت۔
حامد|تعريف کرنے والا۔
حامذ|ترش-کھٹا۔
حامل|بوجھ اٹھانے والا۔
حامی|مددگار۔
حاوی|احاطہ کرنے والا۔
حاءل|روکنے والا۔
حبیب|دوست-پیارا۔
حتمی|پکا۔
حجاب|پردھ-نقاب۔
حجت|بحث-تکرار۔
حجرہ|خلوت حانہ۔
حد|انتہاء۔
حذاقت|عقلمندی۔
حرارت|گرمی-شدت۔
حرج|نقصان۔
حرص|ہوس۔
حرکت|چال۔
حزب|گروہ-جماعت۔
حزین|غمگین۔
حساب|شمار۔
حساس|زیادہ محسوس کرنے والا۔
حسرت|آرزو۔
حسن|نیک-اچھا۔
حشر|قیامت۔
حشمت|نوکرچاکر۔
حشیش|بھنگ۔
حصہ|شریک۔
حصین|محفوظ۔
حصار|احاطہ-گھیرا۔
حضار|حاضرین۔
حفاضت|نگرانی۔
حطاب|لکڑہارا۔
حق|درست۔
حقوق|فراءض۔
حقیقت|اصل-جڑ۔
حکم|ہدایات۔
حکمت|عقل۔
حلف|عہد-پیمان۔
خاتم|انجام۔
خاتون|معزز عورت۔
خادم|نوکر-غلام۔
خارج|باہر نکلا ہوا۔
خارشی|کھجلی والا۔
خارق|جمع خوراق۔
خازن|خزانچی۔
خاشع|عاجزی۔
خاص|عمدہ-منتخب۔
خاطب|مقرر۔
خاطر|واسطے۔
خاک|مٹی-دھول۔
خالق|پیدا کرنے والا۔
خامس|پانوچاں۔
خاموش|چپ-ساکت۔
خاندان|قبیلہ-گھرانہ۔
خانماہ|مال ومتاع۔
خانہ بدوش|آوارہ۔
خاوند|شوہر۔
خباثت|نا پاکی-گندگی۔
خبر|اطلاع-آگاہی۔
خبردار|ہوشیار۔
ختم|مکمل۔
خجستہ|خوش قسمت۔
خجلت|شرمندہ۔
خدشہ|خطرہ۔
خدمات|کار گزاریاں۔
خردماغ|ضدی۔
خراش|چھیلن-رگڑ۔
خرافات|فضول بکواس۔
خرچ|لاگت۔
خسارہ|نقصان۔
خساست|کمینگی۔
خستہ|بد حالی۔
خسیس|کنجوس۔
خصلت|سیرت۔
خضوع|عاجزی۔
خضیب|رنگین۔
خفی|جھپا ہوا۔
خفیف|کم ظرف۔
خلاص|رہاءی۔
خلاف|برعکس۔
خلل|خرابی۔
خلوت|علیہدگی۔
خمدم|ہمت-جوش۔
خمار|کیفیت۔
خمیازہ|بدلہ۔
خواری|رسواءی۔
خواست|جاہ۔
خواہ|خواہش۔
داب|بوجھ۔
دال|اناج۔
داتا|دينے والا۔
دابہ|چوپایہ۔
داتاپن|سخاوت۔
داتر|بڑا درانتی۔
داتن|مسواک۔
داٹن|گھناپن۔
داٹی|ڈانٹ۔
داٹ|سخت۔
دلج|اندھيرا۔
داخل|گھسنا۔
دادسخن|شعر کی تعريف۔
داد|تعريف۔
دادوستد|خريدوفروخت۔
دادا|بوڑھا۔
دادرس|فرياد سننے والا۔
دادخواہی|نالش۔
دادر|مينڈک۔
دادسرا|سسر کا باپ۔
دار|جگہ۔
دارستش|چار کونے۔
دارباز|نٹ۔
دم|جان۔
دارومدار|انہصار۔
داربست|لکڑی۔
دارابی|رسی۔
داروگير|مشکلدارکش|جلاد۔
دارالعمل|عمل کی جگہ۔
دارا|بادشاہ۔
دارو|شراب۔
دارفلفل|فلفل دراز۔
داراشرع|کچہری۔
دارالعوض|سزا کی جگہ۔
داراسرور|خوشی ک۔
دارالفنون|کالج۔
دارالقضا|قاضی کی جگہ۔
داروغہ|نگران۔
داستان|کہانی۔
ڈاٹنا|ڈرانا-ڈھمکانا۔
ذات|حقیقت۔
ذاءقہ|مزہ۔
ذانب|پیچھے چلنے والے۔
ذبح|گلا کاٹنا۔
ذخیرہ|خزانہ۔
ذریعہ|وساءل۔
ذکر|تذکرہ۔
ذلت|توہین۔
ذمام|حق-عزت۔
ذمہ دار|جوابدہ۔
ذوق|شوق۔
ذہین|تیز فہم۔
راب|گنے کا رس۔
رابطہ|واسطہ۔
رابڑی|ربڑی۔
را|ناگہانی۔
رات|ايک پہر۔
رابع|چوتھا۔
راپٹر|بنجر۔
راپٹا|ٹھپڑ۔
رابعہ|چوتھی۔
راپی|راپنی۔
راتنا|سرخ رنگنا۔
راج|حکومت۔
راتا|لال۔
راتب|کتے بلی۔
رواج|روايت۔
راجکما|راجا۔
راجس|مالک۔
راجع|رجوع کرنے والا۔
راجائ|اميری۔
راجح|فاءق۔
راجل|پيادہ۔
راجوٹ|حکمرانی۔
راجی|ساءل۔
راجے|مزدور۔
راجيو|ہرن۔
راچھ|اوزار۔
رازجو|تلاش کرنيوالا۔
رازداں|واقفکار۔
راچھس|راکشش۔
راح|مزے اڑانا۔
راحت|قرار۔
راز|خفيہ بات۔
راس|سازگار۔
راحتی|کيف۔
راحل|مسافر۔
راحم|رحم کرنے والا۔
راد|مواد۔
رادفت|جو بعد ميں آۓ۔
راڑ|فساد۔
راسخ|اٹل۔
راسو|نيولا۔
راسی|بے پرواہ۔
راست|سيدھا۔
راشی|رشوت لينے دينے والا۔
رباط|مسافر خانہ۔
رتبہ|مرتبہ۔
رجال|لوگ۔
رجحان|توجہ۔
رجعت|باز گشت۔
رجوع|واپس ہونا۔
رچانا|پھیلانا۔
رحلت|روانگی۔
رحم|بخشش۔
رخ|جانب۔
رخسار|گال۔
رخصت|روانگی کی اجازت۔
رذیل|کمینہ۔
رزم|جنگ۔
رسان|نرمی۔
رسال|پہچانے والے۔
رستگاری|انجام۔
رستم|پہلوان۔
رسد|قسمت۔
رسوا|بے عزتی۔
رسوخ|قیام۔
رسید|رساہی۔
رشک|رقابت۔
رشوت|ناجاہز چیز۔
رشی|درویش۔
رشید|تعلیم یافتہ۔
رضا|خوشی۔
رعایا|محکوم لوگ۔
رعب|دبدبہ۔
رعد|گڑگڑاہٹ۔
رعشہ|کپکپی۔
رعنا|خوش و خرم۔
رغبت|آرزو۔
رفاقت|دوستی۔
رفاہیت|بھلائ۔
رفت|روانگی۔
رفتار|روش۔
رفع|باز رہنا۔
رفعت|ترقی۔
رفق|نرمی۔
رقابت|مخالفت۔
رفبہ|غلام۔
زاج|سجی۔
زاد|جنم ہونا۔
زاہد|پرہیزگار۔
زاہق|مضبوط۔
زبان|بات کرنا۔
زبردستی|ظللم سے۔
زبر|فاتح۔
زحمت|تکلیف۔
زخم|نقصان۔
زدہ حال| پریشان حال۔
زرمنافع|فاءدہ۔
زرنقد|نقد روپیہ۔
زراعت|کاشتکاری۔
زشت|بدنما۔
زعیم|سردار۔
زلزلہ|زمین کا کانپنا۔
زمانہ|وقت۔
زندان|قید خانہ۔
زندقہ|منافقت۔
زوال|گھاٹا۔
زیرنظر|نگاہ میں۔
زیروبم|اونچاں۔
زیرک|عقلمند۔
زیست|زندگی۔
زیغ|پھر جانا۔
زیل|باریک کی آواز۔
زینت|خوبصوررت۔
زینہ|سیڑھی۔
زینھار|ہرگز کبھی نہیں۔
زیور|زیب و زینت۔
سابق|اگلے وقت کا۔
ساتر|چھپانے والا۔
ساتھ|ہمراہی-شرکت۔
ساجد|سر جھکانے والا۔
ساجن|خاوند-شوہر۔
ساحر|جادوگر۔
ساحل|سمندر کا کنارہ۔
ساخت|بناوٹ۔
سادگی|بھولا پن-سیدھا پن۔
ساز|جنگی ہتھیاڑ۔
سازشی|سازش کرنے والا۔
سازگار|مناسب۔
ساعت|لمحہ۔
سافل|کمینہ۔
ساقط|مسترد۔
ساکن|قاءم رہنے والا۔
ساکھ|اعتبار۔
سامان|ضروضی چیزیں۔
سامراج|نضامی حکومت۔
سامعین|سننے والا۔
سامنا|ملاقات۔
سامی|بلند۔
سانحہ|حادثہ۔
سایہ|چھاوں۔
سب|تمام۔
سبب|وجہ۔
سبقت|فوقیت۔
سپاٹ|صاف۔
سپرد|سونپا ہوا۔
ستم|جبر۔
ستیزہ|لڑای جھگڑا۔
سجانا|آراستہ کرنا۔
سچ|درست۔
سحر|فجر۔
سخت|ٹھوس۔
سخن|کلام۔
سخی|فراخ دل۔
سخیف|بیہودہ۔
سرتاج|آقا۔
سرحد|انتہاء۔
سرغنہ|سردار۔
سرفدا|جان قربان۔
سرفراز|کامیابی۔
سرقلم|سر کاٹنا۔
سرکش|بے وفا۔
سرگرداں|پريشان۔
سرگرمی|محنت۔
سرگزار|جان دینے والا۔
سرگشتگی|مصیبت۔
سرگوشی|غیبت۔
سرمحفل|سب کے سامنے۔
سرمست|نشے میں چور۔
سرمیدان|مقابلے۔
سرنام|نامور۔
سروکار|غرض۔
سرہنگ|سپاہی۔
سرخرو|کامیابی۔
سردمزاج|بےمروت۔
سرسری|معمولی۔
سرشاری|مستی۔
شاخچہ|تہمت۔
شاد|خوش,مسرور۔
شاداب|سرسبز۔
شارع|بڑا راستہ۔
شاستر|حکم فرمان۔
شاطر|چالاک۔
شاغل|مصروف۔
شافی|صحت دینے والا۔
شاکر|شکر کرنے والا۔
شاکل|مشابہت۔
شاکی|شکایت کرنے والا۔
شامت|برائ۔
شامل|اکٹھا ملا ہوا۔
شان|عظمت,شوکت۔
شانت|مطمءن۔
شاہ|سلطان۔
شاہد|گواہ۔
شب|رات۔
شباب|شروع,آغاز۔
شباہت|مطابقت۔
شبد|قاءدہ و زبان۔
شستاب|فورا۔
شستال|بے قراری۔
شستاع|بدکار۔
شجاعت|بہادری,دلیری۔
شجرہ|نسب نامہ۔
شدت|کثرت۔
شدید|مشکل۔
شر|جھگڑا۔
شرافت|بزرگی۔
شراکت|حصہ داری۔
شرط|قول وقرار۔
شرع|سیدھا راستہ۔
شرم|حیا۔
شرمسار|نادم۔
شروط|عہد۔
شریف|تہذیب یافتہ۔
شعاع|روشنی,چمک۔
شفا|تندرستی۔
شفاف|صاف۔
شفقت|مہربانی۔
شفیع|شفاعت کرنے والا۔
شقاوت|بدبختی۔
شکر|احسان مند۔
شکست|ہار۔
شکیب|بردباری۔
شگون|نیک انجام۔
شمار|گنتی۔
شناخت|پہچان۔
شوخی|شرارت۔
شوریدگی|پریشانی۔
صابر|صبر کرنے والا۔
صالح|نیک-پرہیزگار۔
صامت|خاموش-چپ چاپ۔
صبر|برداشت-تاتل۔
صبیح|گورا-خوبصورت۔
صبور|گنہگاروں پر نرمی کرنے والا۔
صحرا|بیابان-ریگستان۔
صحیح|درست-پورا۔
صحن|آنگن۔
صدقہ|خیرات-اتارہ-قربان-بدولت۔
صدمہ|دھکا-تکلیف۔
صدا|آواز۔
صرف|اکیلا-فقط۔
صریح|صاف-علانیہ۔
صریر|قلم چلنے کی آواز۔
صعوبت|تکلیف-مصیبت۔
صعود|بلندی پر چڑھنا۔
صغر|چھٹائ-چھوٹاپن۔
صف|قطار-فرش۔
صفت|تعریف-خاصیت-وہ اسم جس سے کسی چیز کی خاصیت معلوم ہو۔
صفیر|پرندوں کی آواز-سیٹی۔
صلا|پکار-دعوت۔
صلاح|مشورہ-راۓ۔
صلاحیت|سمجھ-اہلیت۔
صمیم|سچا-مخلص۔
صنف|نوع-جنس-قسم۔
صناع|بہت بڑا کاریگر۔
صنعت|کاریگری-دستکاری۔
صواب|نیکی-درستی۔
صورت|شکل-تصویر-تدبیر۔
صورتحال|معاملہ-کیفیت۔
صہبا|ایک قسم کی لال شراب۔
صیقل|صفائ-چمک۔
صیاد|شکاری۔
صید|شکار-وہ جانور جس کا شکار کریں۔
صوری|ظاہری۔
صوم|روزہ۔
صلوۃ|نماز۔
صفا|پاک-کھرا-مکہ شریف کی ایک پہاڑی۔
صراف|مہاجن-ساہوکار۔
صرصر|آندھی-جھکڑ۔
صبح|سویرا-سحر۔
صحافی|اجبارنویس۔
صادق|سچا-موزوں۔
صاف|کھرا-خالص-اجلا-قطعی-واضح-ٹھیک۔
صراحت|تشریح-وضاحت۔
صوفی|اونی کپڑا پہننے والا-متقی۔
صنم|بت۔
صباحت|گوراپن۔
صحرائ|جنگلی-بیابانی۔
ضالبط|ضبط کرنے والا۔
ضابطہ|قانون-عملدرآمد-آئین۔
ضامنی|کفالت-ذمہداری۔
ضائع|برباد-اکارت-نکما-غارت۔
ضال|گمراہ-بھٹکا ہوا۔
ضبط|انتقام-نبدوبست-حوش کی روک تھام۔
ضحک|ہنسنا-ایران کا ایک ظالم بادشاہ۔
ضحاک|ہنسنے والا۔
ضخامت|جسامت-حجم-لمبائ،چوڑائ اور موٹائ۔
ضخیم|جسیم-موٹا۔
ضد|ہٹ-اصرار-سینہزوری-مخالف-الٹ-برعکس۔
ضدی|ہٹی-شرکش۔
صدین|دو برعکس جیزیں۔
ضراب|لڑنا-تلوار مارنا۔
ضربالمثل|کہاوت-بیان کرنا-بےمثل-اکھان۔
ضرر|نقصان-زیان-دکھ۔
ضرور|لازم۔
ضرورت|حاجت-کمی۔
ضریح|قبر-گور۔
ضعف|کمزوری-نقاہت-ناتوانی۔
ضعیف|کمزور-ناتوان-بوڑھا۔
ضعیفالعقل|پاگلپن-کمعقل-احمق-بےوقوف۔
ضعیفالحال|کمزورحال-پریشانحال-مفلس۔
ضلالت|گمراہی-تباہی-گناہ-خطا۔
ضلع|وہ حصہ جہاں صاحب ڈپٹیکمشنر کا مقام ہو-پسلی۔
ضلعداری|ضلعدار کا عہدہ-کام۔
ضم|پیش۔
صماد|لیپلگانا-مرہم۔
ضمانت|کفالت-ذمہداری۔
ضمیر|وہ لفظ جو ظاہر اسم کے قائمقام ہو-دل-بھید-خیالی-اندیشہ-جو دل میں ہو۔
ضو|سورج کی روشنی۔
ضوفشاں|روشنی ڈالنے والا۔
ضوابط|ضابط کی جمع۔قوانین۔
ضواحک|سامنے کے چار دانت۔
ضیا|روشنی-چمک۔
ضیافت|مہمانی-دعوت۔
ضیغم|شیر-درندہ۔
ضیف|مہمان۔
ضیق|تنگی۔
ضیقالنفس|سانس تنگی سے آنے کی بیماری-دمہ۔
ضعفبصارت|آنکھوں کی کمزوری-کم نظر آنا۔
طاب|خوشبو-عمدہ۔
طارع|چھایا ہوا-غالب۔
طاعت|تابعداری-بندگی-فرمانبرداری۔
طاقت|بل-توانائ-زور۔
طبعیت|مزاج-خصلت-عادت۔
طبیب|ڈاکٹر-حکیم۔
طبعی|ذاتی-اصلی-نیچرل۔
طبق|تھال-سرپوش-رکابی-منزل۔
طرار|تیزذبان-چالاک-جیبکترا-بدمعاش۔
طرب|خوشی-دللگی۔
طرح|طریقہ-ڈھنگ-وضع۔
طرز|ڈھنگ-طریقہ-انداز۔
طشت|تھال۔
طشتازبام|صریح-آشکارا۔
طشتچوکی|ایک قسم کی امیری یا خانہپاٹ۔
طشتری|پرچ-رکابی۔
طعام|کھانا۔
طعمہ|خوراک-لقمہ-گوشت وغیرہ جو شکار کو پکڑنے کے لیے اگاتے ہیں۔
طعن|بولی-ملامت۔
طعنہ|طنز-نیزہ مارنا۔
طغرا|شاہی مہر۔
طغراق|کنپٹی کا گھونہ۔
طغیان|جوار-مدوجزر۔
طفل|بچہ-شیرخواربالک۔
طفیل|واسطہ-سبب۔
طفیلی|بن بلاۓ دعوت میں چلے جانا۔
طفیلیاں|خوشامد-پچھ لگ۔
طلا|سونا۔
طلاق|زوجیت سے خارج کر دینا۔
طلب|چاہت-خواہش-تنخواہ۔
طلوع|چڑھنا-نکلنا-بلندہونا۔
طمانچہ|تھپڑ۔
طمانیت|سکون قلب۔
طمع|لالچ-حرص-چاہت۔
طمنچہ|پستول۔
طناب|رسی-خیمہ کی ڈور۔
طنازہ|نخرے کرنے والا-ناز سے چلنے والا۔
طنبورہ|چھ تار کا ستار۔
طنز|طعنہ-بولی-تمسخر چھیڑ۔
طواف|چاروں طرف گھومنا۔
طوالت|لمبائ-زیادتی-درازی۔
طور|ڈھنگ۔
طوفان|پانی کی زیادتی-نل آندھی غبار تہمت۔بہتان۔
طوق|گلوبند-ہار-زنجیر۔
طہارت|پاکیزگی-صفائ
طہور|پاک۔
طیارہ|ہوائ جہاز۔
طیب|حلال-پاک۔
طنیت|سرشت-نیچر-ضمیر۔
طیش|جوش-غضب۔
طیار|آمادہ-آراستہ
ظالم|ظلم کرنے والا-بےانصاف-انیائ۔
ظاہر|کھلا ہوا-صاف۔
ظاہرا|وضاحت سے-بظاہر۔
ظاہری|بیرونی-پرائ-اوپری۔
ظرافت|خوشطبعی-ہنسی-ٹھٹھا-چہل۔
ظرف|برتن-گنجائش-سمائ-حوصلہ۔
ظریف|ٹھٹھےباز-دللگی باز-ٹھٹھولی-مسخرا۔
ظروف|ظرف کی جمع-برتن۔
ظفر|کامیابی-جیت-فتح۔
ظفریاب|فتحمند-کامیاب۔
ظلل|سایہ-چھاوں۔
ظللظلیل|مستقل-مکمل-سایہ۔
ظلال|سایہدار جگہ۔
ظلام|تاریکی-ظلمات۔
ظلم|بےانصافی-زیادتی-زبردستی۔
ظلمات|ظلمت کی جمع-اندھیرے-تاریکیاں۔
ظلمت|اندھیرا-ظلم-پسند۔
ظلوم|نہایت ظالم-بہت ظلم کرنے والا۔
ظن|گمان-خیال-راۓ۔
ظنغالب|یقین-پختہ راۓ۔
ظنفاسد|شکوشبہ-بدظن۔
ظواہر|زمین کی بلندیاں۔
ظہر|پیٹھ-پشت-تیسرا پہر۔
ظہور|ظاہر ہونا۔
ظہیر|مددگار-دوست۔
عابد|عبادت کرنے والا-دیندار-پرہیزگار۔
عاجز|مسکین-تھکاماندہ-مجبور۔
عادت|دستور-سبھاو۔
عبادت|بندگی-اطاعت۔
عبارت|طرزکلام-مضمون۔
عبرت|نصیحت۔
عتاب|غصہ-غضب-ڈانٹ۔
عتیق|قدیم-پرانا۔
عداوت|دشمنی-بیر۔
عدل|انصاف۔
عدیل|ناپید-نیستونابود۔
عذاب|سزا-تکلیف-دکھ-مصبت۔
عذار|رخسار-گال۔
عذب|میٹھا-خوشگوار۔
عرصہ|میدان-فاصلہ-وقت۔
عرض|درخواست-چوڑائ۔
عروج|چڑھائ-اٹھان-بلندی۔
عزت|شان-آبرو-رفعت۔
عزلت|گوشہ تنہائ۔
عزیمت|ارادہ-مقصد۔
عسکر|لشکر-فوج۔
عس|شہید۔
عشق|پیار-محبت۔
عشوہ|ناز-نخرہ۔
عصا|لاٹھی-چھڑی-سونٹا۔
عصر|رمانہ-وقت-عمر-شام سے پہلے کا وقت-شام کی نماز۔
عضد|مدد کرنا۔
عضو|جوڑ۔
عطا|بخشش-عنایت۔
عطر|خشبو۔
عظم|بڑائ۔
عظمت|شان-بڑائ۔
عفت|نیکی-پاکیزگی-پاکدامنی۔
عفو|معافی-بخشش-درگزر۔
عقل|فہم-ادراک-بدھ۔
عقوبت|سزا-عذاب۔
عکس|پرچھائیں-غلاف-فوٹو۔
علاج|چارہکار-دفعیہ۔
علامت|نشانی-سراغ-اشارہ۔
علالت|بیماری۔
عمل|کام-مشق-قاعدہ۔
عمارت|مکان۔
عنوان|دیپاچہ-سرنامہ۔
عنقریب|جلدی-نزدیک-لگبھگ۔
عوام|عام لوگ-رعایا۔
عوارض|عارضہ کی جمع-بیماریاں۔
عہد|زمانہ-قولوقرار۔
